Instance MapleLcmDistChrBt MapleLcmDistChrBT-v1-r1000-lbdlim-10 MapleLcmDistChrBT-v2-r500-lbdlim-14 MapleLCMDist-v1-r1000-lbdlim-10 MapleLCMDist-v2-r500-lbdlim-14 MapleLCMDist
g2-ak128diagobg1btaig.cnf 102.309 113.898 84.116 112.878 81.4954 94.1355 
g2-ak128diagobg2asaig.cnf 1e+100 1e+100 1e+100 1e+100 1e+100 1e+100 
g2-ak128diagodiagoisc.cnf 1e+100 1e+100 1e+100 1e+100 1e+100 1e+100 
g2-ak128modasbg1msisc.cnf 8.14638 22.6197 6.65518 28.3222 7.18767 7.51022 
g2-ak128modasbg1sbisc.cnf 80.2548 80.8814 60.5999 74.4482 52.4773 54.2679 
g2-ak128modasmodasisc.cnf 1e+100 1e+100 1e+100 1e+100 1e+100 1e+100 
g2-ak128modbtbg1asaig.cnf 86.7625 96.7523 61.1146 114.283 94.5713 98.7048 
g2-ak128modbtbg1asisc.cnf 43.6563 66.9317 51.856 76.705 55.2926 51.0216 
g2-ak128modbtbg1btaig.cnf 53.0633 66.5526 42.6761 71.3884 55.2126 45.8771 
g2-ak128modbtbg2msisc.cnf 3589.87 4119.8 3287.34 1e+100 1e+100 2716.66 
g2-ak128modbtsimpbaig.cnf 1e+100 1e+100 1e+100 1e+100 1e+100 1e+100 
g2-ak128paralbg1sbisc.cnf 5.0825 21.1223 4.77261 23.7938 4.9313 4.61177 
g2-ak128paralbg2asaig.cnf 1e+100 1e+100 1e+100 1e+100 1e+100 1e+100 
g2-ak128paralparalisc.cnf 1e+100 1e+100 1e+100 1e+100 1e+100 1e+100 
g2-ak128paralsimpbaig.cnf 1e+100 1e+100 1e+100 1e+100 1e+100 1e+100 
g2-ak128simpbbg1sbisc.cnf 8.20318 23.6374 7.30446 26.5134 7.11578 7.37854 
g2-ak128simpbbg2asaig.cnf 1e+100 1e+100 1e+100 1e+100 1e+100 1e+100 
g2-gss-22-s100.cnf 1e+100 1e+100 1e+100 1e+100 1e+100 1e+100 
g2-gss-24-s100.cnf 1e+100 1e+100 1e+100 1e+100 1e+100 1e+100 
g2-gss-26-s100.cnf 1e+100 1e+100 1e+100 1e+100 1e+100 1e+100 
g2-gss-28-s100.cnf 1e+100 1e+100 1e+100 1e+100 1e+100 1e+100 
g2-gss-30-s100.cnf 1e+100 1e+100 1e+100 1e+100 1e+100 1e+100 
g2-gss-32-s100.cnf 1e+100 1e+100 1e+100 1e+100 1e+100 1e+100 
g2-gss-34-s100.cnf 1e+100 1e+100 1e+100 1e+100 1e+100 1e+100 
